id,date,municipality,province,area_ha,lat,lon,p_fuego,prediction
273703,2025-07-07,Castellar de la Ribera,Lleida,81,42.022662,1.4161208,0.8812,1
255705,2025-02-21,Vega de Pas,Cantabria,80,43.1585436,-3.7821043,0.9931,1
279663,2025-08-23,Ceclavín,Cáceres,80,39.8224249,-6.7734102,0.9934,1
272775,2025-06-28,Barcarrota,Badajoz,79,38.5163049,-6.8492276,0.9931,1
280829,2025-08-30,Cabrillanes,León,78,42.95367,-6.147952,0.9907,1
274486,2025-07-11,Algeciras,Cádiz,77,36.1311725,-5.4473991,0.9806,1
267007,2025-03-31,Luyego,León,77,42.3430708,-6.2353512,0.9923,1
265021,2025-03-10,Miera,Cantabria,76,43.2754402,-3.7126373,0.9927,1
256803,2025-02-21,Selaya,Cantabria,76,43.216694,-3.806861,0.9940,1
278168,2025-07-28,Santiago del Teide,Tenerife,76,28.2957363,-16.8144779,0.2919,0
279039,2025-08-16,Cáceres,Cáceres,75,39.4745175,-6.3716761,0.9893,1
279216,2025-08-22,Vilaboa,Pontevedra,74,42.3433945,-8.6641497,0.9718,1
274048,2025-07-08,Torrequemada,Cáceres,73,39.3659135,-6.2210139,0.9922,1
274798,2025-07-17,Trigueros,Huelva,73,37.3830829,-6.834095,0.9885,1
280774,2025-09-04,Caso,Asturias,72,43.1747943,-5.3270258,0.9930,1
277931,2025-08-11,Villanueva de los Castillejos,Huelva,72,37.4992023,-7.2724576,0.9937,1
265481,2025-04-01,Luena,Cantabria,72,43.1117585,-3.9070384,0.9933,1
277106,2025-08-25,Fonsagrada, A,Lugo,72,43.1248311,-7.0676605,0.9925,1
264885,2025-03-20,Cabuérniga,Cantabria,71,43.2064824,-4.3050679,0.9940,1
265485,2025-04-02,Arenas de Iguña,Cantabria,70,43.1870286,-4.0496673,0.9938,1
276981,2025-08-03,Pedroñeras, Las,Cuenca,70,39.454367,-2.6769369,0.0026,0
282174,2025-09-20,Sober,Lugo,70,42.4618386,-7.5869336,0.9942,1
265246,2025-03-05,Orbaizeta,Navarra,70,42.9743136,-1.2301437,0.8836,1
267034,2025-03-20,Valdés,Asturias,69,43.4847858,-6.4693693,0.0044,0
253064,2025-02-06,Naut Aran,Lleida,69,42.7016601,0.9131665,0.9883,1
279306,2025-08-13,Pobra de Trives, A,Ourense,68,42.3405898,-7.2547833,0.9933,1
251745,2025-01-19,San Roque de Riomiera,Cantabria,67,43.2191046,-3.7200789,0.9899,1
279048,2025-08-17,Gallegos de Argañán,Salamanca,66,40.6310965,-6.7021817,0.9929,1
279664,2025-08-20,Gudiña, A,Ourense,65,42.0608496,-7.1324578,0.9926,1
279773,2025-08-28,Escurial,Cáceres,64,39.1682141,-5.8840442,0.9895,1
279259,2025-08-22,Oia,Pontevedra,64,42.031505,-8.8444098,0.9931,1
266780,2025-04-01,Baztan,Navarra,63,43.1628957,-1.4935352,0.9930,1
261663,2025-03-20,Cangas de Onís,Asturias,62,43.3136138,-5.0658503,0.9927,1
280770,2025-09-06,Urraul Alto,Navarra,61,42.7989649,-1.2166031,0.9892,1
278557,2025-08-14,Quirós,Asturias,61,43.1519207,-5.9732125,0.0112,0
276358,2025-07-25,Higuera de Llerena,Badajoz,60,38.3759654,-5.9985986,0.9934,1
265069,2025-03-07,Riotuerto,Cantabria,60,43.3326111,-3.6961004,0.9769,1
266838,2025-03-31,Cabuérniga,Cantabria,59,43.2064824,-4.3050679,0.9938,1
282469,2025-09-23,Pereruela,Zamora,59,41.415918,-5.8773739,0.9921,1
259889,2025-03-07,Vega de Pas,Cantabria,59,43.1585436,-3.7821043,0.0011,0
272938,2025-06-30,Ponga,Asturias,58,43.1873037,-5.1540872,0.9920,1
252410,2025-01-25,Tojos, Los,Cantabria,58,43.1532969,-4.2571942,0.9930,1
279772,2025-08-20,Escurial,Cáceres,58,39.1682141,-5.8840442,0.9930,1
267002,2025-04-01,Luena,Cantabria,58,43.1117585,-3.9070384,0.9933,1
278912,2025-08-14,Villa del Campo,Cáceres,57,40.1412528,-6.4277366,0.9927,1
281425,2025-09-13,Rociana del Condado,Huelva,57,37.3082195,-6.5978918,0.9937,1
278507,2025-08-13,Cangas del Narcea,Asturias,57,43.1774374,-6.5499784,0.1557,0
272115,2025-06-20,Chinchilla de Monte-Aragón,Albacete,56,None,None,-1.0000,0
266946,2025-04-01,Luena,Cantabria,56,43.1117585,-3.9070384,0.9933,1
281120,2025-09-14,Pozoblanco,Córdoba,56,38.3780204,-4.848573,0.9931,1
276058,2025-07-28,Salvaterra de Miño,Pontevedra,54,42.1081234,-8.4897937,0.9910,1
277951,2025-08-05,Fonsagrada, A,Lugo,54,43.1248311,-7.0676605,0.0041,0
268660,2025-04-18,Rionansa,Cantabria,53,43.2195449,-4.3955368,0.9937,1
272788,2025-06-28,Garrovillas de Alconétar,Cáceres,53,39.7131532,-6.5494403,0.9929,1
272529,2025-06-24,Montizón,Jaén,53,38.3421949,-3.1036044,0.9921,1
281916,2025-09-22,Pereruela,Zamora,53,41.415918,-5.8773739,0.1673,0
264988,2025-02-19,Selaya,Cantabria,52,43.216694,-3.806861,0.9940,1
277107,2025-08-02,Ponteceso,A Coruña,52,43.2428181,-8.9005051,0.0092,0
273560,2025-07-04,Chandrexa de Queixa,Ourense,52,42.2592799,-7.3776155,0.9911,1
278913,2025-08-18,Navasfrías,Salamanca,52,40.2959784,-6.8192419,0.9917,1
273525,2025-07-01,Andújar,Jaén,51,38.0392362,-4.0505603,0.9919,1
281368,2025-09-06,Topas,Salamanca,51,41.1574766,-5.6329809,0.9935,1
273303,2025-07-03,Tolva,Huesca,51,42.1149441,0.5650762,0.9930,1
264868,2025-03-20,Rionansa,Cantabria,50,43.2195449,-4.3955368,0.9941,1
272082,2025-06-19,Almonte,Huelva,50,37.2611686,-6.5175751,0.9934,1
267971,2025-03-05,Orbaizeta,Navarra,50,42.9743136,-1.2301437,0.8836,1
273396,2025-07-04,Carballeda de Valdeorras,Ourense,49,42.3439744,-6.8491007,0.9923,1
279417,2025-08-10,Vega de Espinareda,León,49,42.7265754,-6.6544374,0.9936,1
266989,2025-04-02,Espinosa de los Monteros,Burgos,48,43.0766376,-3.5520277,0.0009,0
272687,2025-06-26,Berja,Almería,48,36.8428832,-2.945818,0.9898,1
279666,2025-08-24,Molinaseca,León,48,42.5378376,-6.5204633,0.9923,1
277446,2025-08-05,Villayón,Asturias,48,43.4476896,-6.7046079,0.9692,1
281116,2025-09-10,Alhama de Granada,Granada,47,37.0028286,-3.9891096,0.9937,1
266883,2025-04-08,Molledo,Cantabria,47,43.15187,-4.0428,0.9938,1
280793,2025-08-26,Fonsagrada, A,Lugo,47,43.1248311,-7.0676605,0.9921,1
